Codification_instrument;Commune;Edifice;Edifice_standard;Info_edifice;Codification_edifice;Nom_departement;Code_depertament;Nom_region;Code_insee;Commune_insee;Ancienne_commune;Adresse;Denomination;Livre;Pages_pdf;Pages_livre;Pages_livre_complement;Commentaire;Log;Site_ref;Latitude;Longitude;Orgbase_manu;Orgbase_commune;Orgbase_auto;Orgbase_desc;Orgbase_edifice;Orgbase_facteurs;Orgbase_minicompo;Orgbase_edifice_standard;Orgbase_edifice_log;Orgbase_commune_insee;Reference_palissy;denomination_palissy;Edifce_palissy;protection_palissy
;Malo-les-Bains;Église Notre-Dame-du-Sacré-Coeur;;;;Nord;Notre-Dame-Du-Sacré-Coeur [eglise];EDIFICE_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027900&LGE=FR&LIJST=lang;;;d;;Beuchet-Debièrre, Manufacture (1959);IIIP/46;;;;;;;
;Marchiennes;Église Sainte-Rictrude;;;;Nord;Sainte-Rictrude [eglise];EDIFICE_STANDARD;59375;Marchiennes;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2028038&LGE=FR&LIJST=lang;;;dp;;Carlier, François-Joseph (1837);IIp/15;;;;;;;
;Marcq-en-Baroeul;Église Notre-Dame des Victoires;;;;Nord;Notre-Dame des Victoires [eglise];EDIFICE_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2051509&LGE=FR&LIJST=lang;;;d;;Godefroy, René (1977);IIP/15;;;;;;;
;Marcq-en-Baroeul;Église Sacré-Coeur;;;;Nord;Sacré-Coeur [eglise];EDIFICE_NON_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2051510&LGE=FR&LIJST=lang;;;d;;Loriaut, Jean-Louis (1995);IIP/25;;;;;;;
;Marcq-en-Baroeul;Église Saint-Jean du Quesne;;;;Nord;Saint-Jean du Quesne [eglise];EDIFICE_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2051511&LGE=FR&LIJST=lang;;;d;;Delmotte, Maurice;IIP/16 (6);;;;;;;
;Marcq-en-Baroeul;Église Saint-Paul;;;;Nord;Saint-Paul [eglise];EDIFICE_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033543&LGE=FR&LIJST=lang;;;d;;Cogez, Bernard (1992);IIP/16;;;;;;;
;Marcq-en-Baroeul;Église Saint-Vincent;;;;Nord;Saint-Vincent [eglise];EDIFICE_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2051349&LGE=FR&LIJST=lang;;;dp;;Stoltz & Schaff (1850);IIP/23;;;;;;;
;Marcq-en-Baroeul;Institution Libre, Chapelle du Collège;;;;Nord;Libre, Chapelle du Collège [institution];EDIFICE_NON_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2051508&LGE=FR&LIJST=lang;;;d;;Anneessens, Jules (1928 - 1993);IIP/19;;;;;;;
;Marcq-en-Baroeul;Institution Libre, Chapelle du Collège;;;;Nord;Libre, Chapelle du Collège [institution];EDIFICE_NON_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2051507&LGE=FR&LIJST=lang;;;d;;Cogez, Bernard (1994);IIP/18;;;;;;;
;Maroilles;Église Saint-Humbert;;;;Nord;Saint-Humbert [eglise];EDIFICE_STANDARD;59384;Maroilles;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033545&LGE=FR&LIJST=lang;;;dp;;Gobert, Antoine (1725);IIIP/29;;;;;;;
;Maubeuge;Église Saint-Pierre et Saint-Paul;;;;Nord;Saint-Pierre Et Saint-Paul [eglise];EDIFICE_STANDARD;59392;Maubeuge;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033546&LGE=FR&LIJST=lang;;;dp;;Cogez, Bernard (1993);IIP/27;;;;;;;
;Merckeghem;Église Saint-Pierre aux Liens;;;;Nord;Saint-Pierre Aux Liens [eglise];EDIFICE_STANDARD;59397;Merckeghem;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033549&LGE=FR&LIJST=lang;;;d;;Cogez, Bernard (1987);IP/9;;;;;;;
;Merris;Église Saint-Laurent;;;;Nord;Saint-Laurent [eglise];EDIFICE_STANDARD;59399;Merris;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033550&LGE=FR&LIJST=lang;;;d;;Coupleux Frères (1931);IIP/8;;;;;;;
;Merville;Église Saint-Pierre;;;;Nord;Saint-Pierre [eglise];EDIFICE_STANDARD;59400;Merville;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033551&LGE=FR&LIJST=lang;;;d;;Didier, François (1928);IIP/30;;;;;;;
;Merville;Mission Diocésaine, Chapelle;;;;Nord;Mission Diocésaine, Chapelle;EDIFICE_NON_STANDARD;59400;Merville;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027867&LGE=FR&LIJST=lang;;;d;;Cavaillé-Coll, Aristide (1891);IIP/28;;;;;;;
;Méteren;Église Saints-Pierre-et-Paul;;;;Nord;Saints-Pierre-Et-Paul [eglise];EDIFICE_NON_STANDARD;59401;Meteren;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033822&LGE=FR&LIJST=lang;;;d;;Coupleux Frères (1929 - 1991);IIP/12;;;;;;;
;Méteren;Église Saints-Pierre-et-Paul;;;;Nord;Saints-Pierre-Et-Paul [eglise];EDIFICE_NON_STANDARD;59401;Meteren;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033552&LGE=FR&LIJST=lang;;;dp;;Medico, Louis del (1991);IIP/16;;;;;;;
;Méteren;Église Saints-Pierre-et-Paul, Orgue de Choeur;;;;Nord;Saints-Pierre-Et-Paul, Orgue de Choeur [eglise];EDIFICE_NON_STANDARD;59401;Meteren;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033856&LGE=FR&LIJST=lang;;;p;;; ;;;;;;;
;Millam;Église Saint-Omer;;;;Nord;Saint-Omer [eglise];EDIFICE_STANDARD;59402;Millam;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2005782&LGE=FR&LIJST=lang;;;dp;;Peteghem, Pierre Charles (I) Van (1847);IIp/17;;;;;;;
;Morbecque La Motte-aux-Bois;Église Saint-Firmin;;;;Nord;Saint-Firmin [eglise];EDIFICE_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033556&LGE=FR&LIJST=lang;;;d;;Godefroy, René (1973);IIP/14;;;;;;;
;Morbecque La Motte-aux-Bois;Église Saint-Thomas-de-Cantorbéry;;;;Nord;Saint-Thomas-De-Cantorbéry [eglise];EDIFICE_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027868&LGE=FR&LIJST=lang;;;d;;Cavaillé-Coll, Aristide (1880);IIP/10;;;;;;;
;Mouvaux;Église du Sacré-Coeur;;;;Nord;du Sacré-Coeur [eglise];EDIFICE_NON_STANDARD;59421;Mouvaux;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2059284&LGE=FR&LIJST=lang;;;d;;Delmotte, Maurice (1958);IIP/25 (6);;;;;;;
;Mouvaux;Église Saint-François;;;;Nord;Saint-François [eglise];EDIFICE_STANDARD;59421;Mouvaux;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2059283&LGE=FR&LIJST=lang;;;dp;;Puget & fils, Théodore (1901);IIP/15;;;;;;;
;Mouvaux;Église Saint-Germain;;;;Nord;Saint-Germain [eglise];EDIFICE_STANDARD;59421;Mouvaux;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2059282&LGE=FR&LIJST=lang;;;dp;;Neuville & fils, Louis (1893);IIP/18;;;;;;;
;Neuf Berquin;Église Saint-Gilles;;;;Nord;Saint-Gilles [eglise];EDIFICE_STANDARD;59423;Neuf-Berquin;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033558&LGE=FR&LIJST=lang;;;d;;Müller, Erwin (1963);IP/5;;;;;;;
;Nieppe;Église Saint-Martin;;;;Nord;Saint-Martin [eglise];EDIFICE_STANDARD;59431;Nieppe;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033561&LGE=FR&LIJST=lang;;;d;;Bruggeman-Baert (1992);IIP/19;;;;;;;
;Nomain;Église Saint-Martin;;;;Nord;Saint-Martin [eglise];EDIFICE_STANDARD;59435;Nomain;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2028035&LGE=FR&LIJST=lang;;;d;;Delmotte, Edouard & Théophile (1878);IIP/15;;;;;;;
;Ochtezeele;Église Saint-Omer;;;;Nord;Saint-Omer [eglise];EDIFICE_STANDARD;59443;Ochtezeele;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2031934&LGE=FR&LIJST=lang;;;dp;;Facteur inconnu (19e eeuw);Ip/8;;;;;;;
;Ohain;Église Saint-Martin;;;;Nord;Saint-Martin [eglise];EDIFICE_STANDARD;59445;Ohain;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2048083&LGE=FR&LIJST=lang;;;dp;;Delmotte, Maurice (1885);IIP/12;;;;;;;
;Oost Cappel;Église Saint-Nicolas;;;;Nord;Saint-Nicolas [eglise];EDIFICE_STANDARD;59448;Oost-Cappel;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033566&LGE=FR&LIJST=lang;;;d;;Facteur inconnu (1827);IP/6;;;;;;;
;Orchies;Église Notre-Dame;;;;Nord;Notre-Dame [eglise];EDIFICE_STANDARD;59449;Orchies;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2028036&LGE=FR&LIJST=lang;;;d;;Thunus, Aloïs;IIP/26;;;;;;;
;Oudezeele;Église du Décollation de Saint-Jean-Baptiste;;;;Nord;du Décollation de Saint-Jean-Baptiste [eglise];EDIFICE_NON_STANDARD;59453;Oudezeele;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033567&LGE=FR&LIJST=lang;;;d;;Renard, Auguste (1839);IP/9;;;;;;;
;Oxelaëre;Église Saint-Martin;;;;Nord;Saint-Martin [eglise];EDIFICE_STANDARD;59454;Oxelaere;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033568&LGE=FR&LIJST=lang;;;d;;Merklin, Joseph (1897);IIP/11;;;;;;;
;Péronne-en-Mélantois;Église Saint-Nicolas;;;;Nord;Saint-Nicolas [eglise];EDIFICE_STANDARD;59458;Peronne-en-Melantois;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2048849&LGE=FR&LIJST=lang;;;d;;Facteur inconnu (ca. 1880);I/7;;;;;;;
;Petite Synthe;Église Saint-Antoine-de-Padoue;;;;Nord;Saint-Antoine-De-Padoue [eglise];EDIFICE_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027901&LGE=FR&LIJST=lang;;;d;;Gonzalez, Victor (1988);IIP/8;;;;;;;
